codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
170040,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
170370,201912,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
170600,201912,0,0,0,0,0,0,0,5,1,0,0,0,0,0,6
170830,201912,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5
171330,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
171720,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210020,201912,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
210047,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210060,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210100,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210325,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210375,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220173,201912,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
220700,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220755,201912,0,7,0,0,0,0,0,10,0,0,0,0,0,0,17
221150,201912,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
230840,201912,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
231395,201912,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13
241260,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
241390,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
250375,201912,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
250500,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
260350,201912,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
260570,201912,8,0,0,0,0,0,0,3,0,0,0,0,0,0,11
261200,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
270642,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
270710,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
280070,201912,0,5,0,0,0,3,0,4,0,0,0,0,0,0,12
280270,201912,0,2,0,0,0,19,0,16,0,0,0,0,0,0,37
280420,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
280440,201912,0,0,0,0,0,1,0,14,0,0,0,0,0,0,15
290600,201912,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
292450,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
310170,201912,0,0,0,0,0,0,0,24,0,0,0,0,0,0,24
310850,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
311880,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
312087,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
312540,201912,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
312550,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
312560,201912,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
312705,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
313210,201912,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
313250,201912,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3
313505,201912,0,3,0,0,0,0,0,27,0,0,0,0,0,0,30
313510,201912,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
313600,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
314100,201912,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
314180,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
314270,201912,0,0,0,0,0,0,0,16,2,0,0,0,0,0,18
314630,201912,0,0,0,0,0,0,0,5,0,0,0,0,0,1,6
315220,201912,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
315445,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
315600,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
315650,201912,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
315660,201912,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
315700,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
315710,201912,0,0,0,0,0,1,0,5,0,0,0,0,0,0,6
315760,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
315765,201912,0,8,0,0,0,0,0,5,0,0,0,0,0,0,13
316110,201912,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4
316555,201912,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
317090,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
317160,201912,0,3,0,0,0,0,0,29,0,0,0,0,0,0,32
320150,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
420417,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
421070,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
421230,201912,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
421380,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
421507,201912,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
430205,201912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
430340,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
430435,201912,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
430515,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
430580,201912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
430840,201912,0,5,0,0,0,0,0,1,0,0,0,0,0,0,6
430900,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
431060,201912,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
431160,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
431490,201912,20,0,0,0,0,0,0,1,0,0,0,0,0,0,21
431510,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
431645,201912,15,0,0,0,0,0,0,1,0,0,0,0,0,0,16
431845,201912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150178,201911,0,0,0,0,0,5,1,4,0,0,0,0,0,0,10
150630,201911,0,2,0,0,0,11,0,24,0,0,0,0,0,0,37
150790,201911,0,0,0,0,1,6,0,5,0,0,0,0,0,0,12
170040,201911,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
170105,201911,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
170110,201911,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
170210,201911,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
170305,201911,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
170330,201911,0,0,0,0,0,0,0,6,0,0,3,0,0,0,9
170460,201911,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
170510,201911,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
170555,201911,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
170560,201911,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
170625,201911,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8
170700,201911,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
170720,201911,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12
