codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
120020,201512,1,0,0,0,0,0,0,8,0,0,0,0,0,0,9
120030,201512,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
120032,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
120033,201512,1,0,0,0,0,0,0,23,0,0,0,0,1,0,25
120039,201512,0,0,0,0,0,0,6,4,0,0,0,0,0,0,10
120040,201512,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12
120042,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
120045,201512,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
120050,201512,0,0,0,0,0,0,13,55,0,0,0,0,0,0,68
120060,201512,0,0,0,0,7,0,43,46,0,0,0,0,0,0,96
130020,201512,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
130050,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
130060,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130070,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
130100,201512,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
130150,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
130160,201512,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
130165,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130170,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130195,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
130230,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
130270,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130300,201512,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
130390,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130406,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150160,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150190,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
150500,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150570,201512,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
150610,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
150630,201512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150640,201512,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
150740,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150747,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210020,201512,0,7,0,0,0,0,0,4,0,0,0,0,0,0,11
210130,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210135,201512,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
210240,201512,0,0,0,0,0,2,0,3,0,0,0,0,0,0,5
210275,201512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
210310,201512,0,2,0,0,0,1,0,2,0,0,0,0,0,0,5
210370,201512,0,7,0,0,0,0,0,2,0,0,0,0,0,0,9
210540,201512,0,10,0,0,0,0,0,2,0,0,0,0,0,0,12
210560,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210830,201512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
210840,201512,0,1,0,0,0,0,0,4,0,0,0,0,0,0,5
210927,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
211163,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
211240,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
211245,201512,0,0,0,0,0,1,0,5,0,0,0,0,0,0,6
211280,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
211290,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220260,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
220271,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220285,201512,0,0,0,0,0,0,0,69,0,0,0,0,0,0,69
220375,201512,0,2,0,0,0,0,0,17,0,0,0,0,0,0,19
220551,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
220556,201512,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
220990,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
221060,201512,0,24,0,0,0,0,0,3,0,0,0,0,0,0,27
221135,201512,0,1,0,0,0,0,0,10,0,0,0,0,0,0,11
230060,201512,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
230080,201512,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
230130,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230160,201512,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
230200,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230270,201512,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
230320,201512,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
230420,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
230430,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230480,201512,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
230810,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
230830,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
231195,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
231325,201512,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
240160,201512,0,0,0,0,0,0,0,12,3,0,0,0,0,0,15
240170,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
240185,201512,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
240220,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
240260,201512,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
240510,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
240880,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
240950,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
241090,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
241160,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
241440,201512,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
250040,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
250080,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
250140,201512,49,0,0,0,0,0,0,3,0,0,0,0,0,0,52
250320,201512,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
250403,201512,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28
250490,201512,0,0,0,0,0,0,0,31,3,0,0,0,0,0,34
250523,201512,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
250527,201512,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50
250710,201512,0,0,0,0,0,0,0,56,0,0,0,0,0,0,56
250730,201512,0,0,0,0,0,0,0,49,0,0,0,0,0,0,49
250860,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
250890,201512,0,0,0,0,0,0,0,39,0,0,0,0,0,0,39
250905,201512,47,0,0,0,0,0,0,2,0,0,0,0,0,0,49
250910,201512,0,0,0,0,0,0,0,27,0,0,0,0,0,0,27
250930,201512,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
251160,201512,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
251240,201512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
251272,201512,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
251276,201512,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22
251290,201512,4,0,0,0,0,0,0,40,0,0,0,0,0,0,44
