codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
110001,201812,0,0,0,0,0,0,0,24,0,0,0,0,0,0,24
110002,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
110004,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
110013,201812,0,0,0,0,1,0,0,21,4,0,0,0,0,0,26
110014,201812,0,0,0,0,0,0,0,46,0,0,0,0,0,0,46
110020,201812,0,0,0,0,0,0,7,19,0,0,0,0,0,0,26
110025,201812,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
110028,201812,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15
110032,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
110037,201812,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
110045,201812,0,0,0,0,0,0,0,34,0,0,1,0,0,0,35
110140,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
110146,201812,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
130240,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150010,201812,0,2,0,0,0,0,2,8,0,0,0,0,0,0,12
150020,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150130,201812,0,0,0,0,14,0,4,26,0,0,0,0,0,1,45
150150,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150330,201812,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
150345,201812,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
150460,201812,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
150470,201812,0,6,0,0,13,0,2,21,0,0,0,0,0,0,42
150600,201812,0,0,0,0,0,15,3,40,0,0,0,0,0,0,58
150720,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
170210,201812,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
171660,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220120,201812,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
220150,201812,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
220213,201812,0,1,0,0,0,0,0,11,0,0,0,0,0,0,12
220555,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220585,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220880,201812,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
231130,201812,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
231140,201812,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
250415,201812,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4
260180,201812,0,7,0,0,0,0,0,8,0,0,0,0,0,0,15
260700,201812,6,0,0,0,0,0,0,2,0,0,0,0,0,0,8
261360,201812,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
261460,201812,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
270330,201812,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
270350,201812,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
270500,201812,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
270510,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
270740,201812,0,0,0,0,0,0,0,5,1,0,0,0,0,0,6
280540,201812,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
280560,201812,0,0,0,0,0,0,0,34,0,0,0,0,0,0,34
290405,201812,0,60,0,0,0,0,0,0,0,0,0,0,0,0,60
290490,201812,0,7,0,0,0,1,0,4,0,0,0,0,0,0,12
290600,201812,0,12,0,0,1,0,0,38,0,0,0,0,0,0,51
290685,201812,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17
290687,201812,0,0,0,0,0,0,0,6,0,0,0,0,0,1,7
290720,201812,0,0,0,0,0,1,0,75,0,0,0,0,0,0,76
290990,201812,0,0,0,0,0,1,1,57,0,0,0,0,0,0,59
291075,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
291125,201812,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
291170,201812,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16
291200,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
291300,201812,0,15,0,0,0,0,0,5,0,0,0,0,0,0,20
291770,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
291780,201812,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
291840,201812,0,0,0,0,0,0,0,91,0,0,0,0,0,0,91
292060,201812,0,7,0,0,0,3,0,3,0,0,0,0,0,0,13
292170,201812,0,64,0,0,0,0,0,14,0,0,0,0,0,0,78
292240,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
292380,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
292450,201812,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30
292595,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
292630,201812,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
292890,201812,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
292937,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
292990,201812,0,46,0,0,0,0,0,4,0,0,0,0,0,0,50
293010,201812,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
293020,201812,0,0,0,0,0,8,0,26,0,0,0,0,0,0,34
293070,201812,0,3,0,0,0,0,0,6,0,0,0,0,0,0,9
293077,201812,0,0,0,0,0,1,0,5,0,0,0,0,0,0,6
293290,201812,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21
293305,201812,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
310110,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
310285,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
310550,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
310560,201812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
310570,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
310665,201812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
310700,201812,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
310750,201812,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
