codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
170190,202112,0,0,0,0,0,1,0,7,1,0,0,0,0,0,9
170390,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
170720,202112,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
170900,202112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171488,202112,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5
172100,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
172130,202112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
210020,202112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
210060,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210170,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210177,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210455,202112,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
210690,202112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
210700,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
260515,202112,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
260710,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
317160,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
420325,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
420510,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
421200,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
421360,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
430920,202112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
431697,202112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
432195,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
520010,202112,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18
520025,202112,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
520030,202112,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28
520060,202112,0,1,0,0,0,0,0,1,7,2,0,0,0,0,11
520396,202112,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
520400,202112,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
520470,202112,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
520549,202112,0,7,0,0,0,0,0,3,0,0,0,0,0,0,10
520552,202112,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
520580,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
520670,202112,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
520790,202112,0,0,0,0,0,0,0,2,11,0,0,0,0,0,13
520940,202112,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
520990,202112,0,3,0,0,0,0,0,2,0,0,0,0,0,0,5
521250,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
521270,202112,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
521295,202112,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3
521305,202112,0,1,0,0,0,0,0,21,0,0,0,0,0,0,22
521350,202112,0,4,0,0,0,0,0,2,0,0,0,0,0,0,6
521523,202112,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
521760,202112,0,0,0,0,0,0,0,16,1,0,0,0,0,0,17
521830,202112,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3
521970,202112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
521975,202112,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
522000,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
522068,202112,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
522070,202112,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
522185,202112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
522230,202112,0,1,0,0,0,0,0,2,3,1,0,0,0,0,7
150320,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150613,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
170030,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
170900,202111,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
171280,202111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171380,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
171500,202111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
171850,202111,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
172120,202111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210177,202111,0,0,0,0,1,0,0,17,0,0,0,0,0,0,18
210193,202111,0,0,0,0,2,0,0,11,0,0,0,0,0,0,13
210235,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210370,202111,0,3,0,0,0,1,0,4,0,0,0,0,0,0,8
210455,202111,0,0,0,0,0,1,0,20,0,0,0,0,0,0,21
210510,202111,0,7,0,0,0,0,0,17,0,0,0,0,0,0,24
210530,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210690,202111,0,1,0,0,0,6,0,16,2,0,0,0,0,0,25
210830,202111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
210845,202111,0,12,0,0,0,0,0,16,0,0,0,0,0,0,28
211020,202111,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
211400,202111,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23
260110,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
260515,202111,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17
260710,202111,0,0,0,0,0,0,0,43,0,0,0,0,0,0,43
261020,202111,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14
261090,202111,40,3,0,0,0,0,0,27,0,0,0,0,0,0,70
290600,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
291840,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
310100,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
310440,202111,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
310630,202111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
310860,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
312800,202111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
313868,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
315020,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
315057,202111,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
315213,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
315450,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
316443,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
317000,202111,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
420050,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
420075,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
420208,202111,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
420325,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
420500,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
420550,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
420768,202111,6,0,0,0,0,0,0,2,0,0,0,0,0,0,8
420915,202111,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
420970,202111,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
420990,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
421200,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
421230,202111,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3
421507,202111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
421555,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
421670,202111,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
421920,202111,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
430350,202111,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
430537,202111,54,0,0,0,0,0,0,0,0,0,0,0,0,0,54
430605,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
430650,202111,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
431173,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
431177,202111,0,4,0,0,0,0,0,2,0,0,0,0,0,0,6
431710,202111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
432090,202111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
432120,202111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
