codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
130050,201612,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
130300,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130340,201612,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
140002,201612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140005,201612,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
140015,201612,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
140020,201612,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7
140023,201612,17,0,0,0,0,0,0,4,0,0,0,0,0,0,21
140047,201612,0,0,0,0,0,2,1,2,0,0,0,0,0,0,5
140050,201612,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
210640,201612,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
211280,201612,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
230195,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230260,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230280,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230430,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230560,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230580,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230610,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230660,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230690,201612,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
