codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
170900,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
172000,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210010,202012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
210095,202012,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3
210160,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210355,202012,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3
210408,202012,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
210547,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210570,202012,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
211230,202012,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
220173,202012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
220180,202012,2,0,0,0,0,1,0,4,0,0,0,0,0,0,7
220327,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220720,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220955,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220985,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
221020,202012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
221093,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230320,202012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
