codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
150010,202212,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
150060,202212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
150130,202212,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
150210,202212,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
150230,202212,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
150310,202212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150320,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150460,202212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150548,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150650,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150740,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150796,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
250800,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
250960,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
270310,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
270710,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
310730,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
313200,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
313810,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
314345,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
430350,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
430463,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
430471,202212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
430607,202212,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
431050,202212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
431160,202212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
