codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
110002,201312,0,0,0,0,0,0,0,35,2,0,0,0,0,0,37
110020,201312,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15
110070,201312,0,0,0,0,0,0,0,19,0,0,0,0,0,0,19
110080,201312,0,0,0,0,0,0,0,23,6,0,0,0,0,0,29
110160,201312,0,0,0,0,0,0,0,4,11,0,1,0,0,0,16
120013,201312,0,0,0,0,0,0,1,25,5,0,0,0,0,0,31
120020,201312,0,0,0,0,0,1,0,77,0,0,0,0,0,0,78
120039,201312,0,0,0,0,0,2,5,27,0,0,0,0,0,0,34
120040,201312,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23
120070,201312,0,0,0,0,0,0,0,7,3,0,0,0,0,0,10
210020,201312,0,70,0,0,0,1,0,8,0,0,0,0,0,0,79
210083,201312,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
210130,201312,0,2,0,0,0,0,0,18,0,0,0,0,0,0,20
210135,201312,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
210190,201312,0,3,0,0,0,2,0,2,0,0,0,0,0,0,7
210237,201312,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
210240,201312,0,1,0,0,0,0,0,6,0,0,0,0,0,0,7
210310,201312,0,6,0,0,0,6,0,6,0,0,0,0,0,0,18
210312,201312,0,4,0,0,0,0,0,7,0,0,0,0,0,0,11
210370,201312,0,19,0,0,0,3,0,8,0,0,0,0,0,0,30
210490,201312,0,7,0,0,0,2,0,10,0,0,0,0,0,0,19
210680,201312,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
210710,201312,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
210760,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210840,201312,0,3,0,0,0,2,0,22,0,0,0,0,0,0,27
210960,201312,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
210980,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
211178,201312,0,27,0,0,0,4,0,14,0,0,0,0,0,0,45
211240,201312,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
211245,201312,0,0,0,0,0,4,1,28,0,0,0,0,0,0,33
211260,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
220150,201312,0,4,0,1,0,1,0,129,0,0,0,0,0,1,136
220557,201312,0,0,0,0,0,0,0,36,0,0,0,0,0,0,36
220790,201312,0,0,0,0,0,0,0,72,0,0,0,0,0,0,72
220840,201312,1,10,0,0,0,0,0,43,0,0,0,0,0,0,54
221100,201312,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
230020,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230070,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230075,201312,0,0,0,0,0,2,0,502,0,0,0,0,1,0,505
230125,201312,0,0,0,0,0,0,0,78,0,0,0,0,0,0,78
230185,201312,0,0,0,0,0,2,0,183,1,0,0,0,0,0,186
230240,201312,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
230365,201312,0,0,0,0,0,0,0,93,0,0,0,0,0,0,93
230393,201312,0,0,0,0,0,0,0,270,0,0,0,0,0,0,270
230410,201312,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
230423,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230470,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230520,201312,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18
230526,201312,0,0,0,0,0,0,0,181,5,0,0,0,0,0,186
230560,201312,0,0,0,0,0,0,0,251,1,0,0,0,0,0,252
230565,201312,0,0,0,0,0,0,0,69,0,0,0,0,0,0,69
230580,201312,0,0,0,0,0,0,0,115,0,0,0,0,0,0,115
230590,201312,0,17,0,0,0,0,0,347,0,0,0,0,0,0,364
230630,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230640,201312,0,0,0,0,0,0,0,640,0,0,0,0,0,0,640
230655,201312,3,0,0,0,0,0,0,333,0,0,0,0,0,0,336
230860,201312,8,0,0,0,0,0,0,78,1,0,0,0,0,0,87
230890,201312,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
230930,201312,0,0,0,0,0,0,0,79,1,0,0,0,0,0,80
231025,201312,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
231030,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
231095,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
231130,201312,0,0,0,0,0,1,0,351,1,0,0,0,0,0,353
231140,201312,0,0,0,0,0,0,0,319,0,0,0,0,0,0,319
231200,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
231220,201312,0,0,0,1,0,7,0,345,20,0,0,0,0,0,373
231320,201312,0,0,0,0,0,0,0,185,0,0,0,0,0,0,185
231330,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
231350,201312,0,0,0,0,0,0,0,443,0,0,0,0,0,0,443
240160,201312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
240260,201312,0,0,0,0,0,0,0,13,2,0,0,0,0,0,15
240580,201312,6,0,0,0,0,0,0,18,0,0,0,0,0,0,24
240750,201312,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
240895,201312,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
240950,201312,0,0,0,0,0,0,0,27,2,0,0,0,0,0,29
241010,201312,0,3,0,0,0,1,0,47,0,1,0,0,0,0,52
