codigo_ibge,anomes_s,formento_qtd_fam_benef_indinegas_i,formento_qtd_fam_benef_quilombolas_i,formento_qtd_fam_benef_ciganas_i,formento_qtd_fam_benef_comun_terreiro_i,formento_qtd_fam_benef_extrativistas_i,formento_qtd_fam_benef_pescadores_artesanais_i,formento_qtd_fam_benef_ribeirinhas_i,formento_qtd_fam_benef_agrilcultores_familiares_i,formento_qtd_fam_benef_assentados_ref_agraria_i,formento_qtd_fam_benef_acampados_rurais_i,formento_qtd_fam_benef_credito_fundiario_i,formento_qtd_fam_benef_atingidas_empr_infra_i,formento_qtd_fam_benef_presos_sist_carcerario_i,formento_qtd_fam_benef_catadores_material_reciclado_i,formento_qtd_total_familias_benef_i
150010,201712,0,13,0,0,0,0,3,2,0,0,0,0,0,0,18
170035,201712,0,0,0,0,0,0,0,8,4,0,0,0,0,0,12
170040,201712,0,1,0,0,0,0,0,14,0,0,0,0,0,0,15
170100,201712,0,0,0,0,0,0,0,6,5,0,0,0,0,0,11
170105,201712,0,0,0,0,0,0,0,9,1,0,1,0,0,0,11
170220,201712,0,0,0,0,1,0,1,5,4,0,0,0,0,0,11
170255,201712,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
170290,201712,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
170300,201712,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15
170386,201712,0,0,0,0,0,0,0,11,4,0,0,0,0,0,15
170389,201712,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16
170610,201712,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
170625,201712,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
170710,201712,0,0,0,0,0,0,0,1,3,0,1,0,0,0,5
170740,201712,0,0,0,0,1,3,0,13,1,0,0,0,0,0,18
170820,201712,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
170950,201712,0,0,0,0,0,0,0,10,1,0,0,0,0,0,11
171050,201712,1,0,0,0,0,0,0,14,0,0,0,0,0,0,15
171360,201712,0,0,0,0,0,0,0,10,2,0,0,0,0,0,12
171500,201712,0,0,0,0,0,0,0,10,7,0,0,0,0,0,17
171570,201712,0,0,0,0,0,0,0,8,12,0,0,0,0,0,20
171660,201712,0,0,0,0,0,0,0,18,2,0,0,0,0,0,20
171750,201712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
171855,201712,0,0,0,0,0,0,0,10,1,0,0,0,0,0,11
172010,201712,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
172090,201712,0,0,0,0,0,0,0,17,1,0,0,0,0,0,18
172120,201712,11,0,0,0,0,0,0,3,0,0,0,0,0,0,14
210010,201712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
210030,201712,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
210055,201712,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
210090,201712,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
210160,201712,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
210215,201712,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
210355,201712,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
210408,201712,0,1,0,0,0,0,0,5,0,0,0,0,0,0,6
210465,201712,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
210480,201712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210596,201712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210825,201712,0,5,0,0,0,0,0,3,0,0,0,0,0,0,8
211027,201712,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
211090,201712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
211107,201712,0,8,0,0,5,0,0,10,1,0,0,0,0,0,24
211163,201712,0,0,0,0,0,0,11,26,0,0,0,0,0,0,37
211167,201712,0,0,0,0,0,2,0,62,0,0,0,0,0,0,64
211172,201712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
211178,201712,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
211220,201712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230030,201712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230050,201712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230110,201712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
230120,201712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
